Sample_ID	Timepoint	Condition	treatment	ID
72	1	DMSO_1	DMSO	DMSO_1_Rep1
38	1	DMSO_1	DMSO	DMSO_1_Rep2
104A	1	DMSO_1	DMSO	DMSO_1_Rep3
78	2	DMSO_2	DMSO	DMSO_2_Rep1
44	2	DMSO_2	DMSO	DMSO_2_Rep2
109	2	DMSO_2	DMSO	DMSO_2_Rep3
127	24	DMSO_24	DMSO	DMSO_24_Rep1
62	24	DMSO_24	DMSO	DMSO_24_Rep2
96	24	DMSO_24	DMSO	DMSO_24_Rep3
84	4	DMSO_4	DMSO	DMSO_4_Rep1
50	4	DMSO_4	DMSO	DMSO_4_Rep2
115	4	DMSO_4	DMSO	DMSO_4_Rep3
56	8	DMSO_8	DMSO	DMSO_8_Rep1
90	8	DMSO_8	DMSO	DMSO_8_Rep2
121	8	DMSO_8	DMSO	DMSO_8_Rep3
33	1	OXO_1	OXO	OXO_1_Rep1
99	1	OXO_1	OXO	OXO_1_Rep2
67	1	OXO_1	OXO	OXO_1_Rep3
104B	2	OXO_2	OXO	OXO_2_Rep1
73	2	OXO_2	OXO	OXO_2_Rep2
39	2	OXO_2	OXO	OXO_2_Rep3
57	24	OXO_24	OXO	OXO_24_Rep1
122	24	OXO_24	OXO	OXO_24_Rep2
91	24	OXO_24	OXO	OXO_24_Rep3
79	4	OXO_4	OXO	OXO_4_Rep1
110	4	OXO_4	OXO	OXO_4_Rep2
45	4	OXO_4	OXO	OXO_4_Rep3
85	8	OXO_8	OXO	OXO_8_Rep1
116	8	OXO_8	OXO	OXO_8_Rep2
51	8	OXO_8	OXO	OXO_8_Rep3
101	1	PD_1	PD	PD_1_Rep1
35	1	PD_1	PD	PD_1_Rep2
69	1	PD_1	PD	PD_1_Rep3
106	2	PD_2	PD	PD_2_Rep1
41	2	PD_2	PD	PD_2_Rep2
75	2	PD_2	PD	PD_2_Rep3
59	24	PD_24	PD	PD_24_Rep1
93	24	PD_24	PD	PD_24_Rep2
124	24	PD_24	PD	PD_24_Rep3
81	4	PD_4	PD	PD_4_Rep1
112	4	PD_4	PD	PD_4_Rep2
47	4	PD_4	PD	PD_4_Rep3
53	8	PD_8	PD	PD_8_Rep1
87	8	PD_8	PD	PD_8_Rep2
118	8	PD_8	PD	PD_8_Rep3
34	1	PI_1	PI	PI_1_Rep1
68	1	PI_1	PI	PI_1_Rep2
100	1	PI_1	PI	PI_1_Rep3
40	2	PI_2	PI	PI_2_Rep1
74	2	PI_2	PI	PI_2_Rep2
105	2	PI_2	PI	PI_2_Rep3
123	24	PI_24	PI	PI_24_Rep1
58	24	PI_24	PI	PI_24_Rep2
92	24	PI_24	PI	PI_24_Rep3
46	4	PI_4	PI	PI_4_Rep1
111	4	PI_4	PI	PI_4_Rep2
80	4	PI_4	PI	PI_4_Rep3
86	8	PI_8	PI	PI_8_Rep1
52	8	PI_8	PI	PI_8_Rep2
117	8	PI_8	PI	PI_8_Rep3
36	1	PIOXO_1	PIOXO	PIOXO_1_Rep1
70	1	PIOXO_1	PIOXO	PIOXO_1_Rep2
102	1	PIOXO_1	PIOXO	PIOXO_1_Rep3
76	2	PIOXO_2	PIOXO	PIOXO_2_Rep1
42	2	PIOXO_2	PIOXO	PIOXO_2_Rep2
107	2	PIOXO_2	PIOXO	PIOXO_2_Rep3
94	24	PIOXO_24	PIOXO	PIOXO_24_Rep1
125	24	PIOXO_24	PIOXO	PIOXO_24_Rep2
60	24	PIOXO_24	PIOXO	PIOXO_24_Rep3
48	4	PIOXO_4	PIOXO	PIOXO_4_Rep1
113	4	PIOXO_4	PIOXO	PIOXO_4_Rep2
82	4	PIOXO_4	PIOXO	PIOXO_4_Rep3
119	8	PIOXO_8	PIOXO	PIOXO_8_Rep1
54	8	PIOXO_8	PIOXO	PIOXO_8_Rep2
88	8	PIOXO_8	PIOXO	PIOXO_8_Rep3
37	1	PIPD_1	PIPD	PIPD_1_Rep1
71	1	PIPD_1	PIPD	PIPD_1_Rep2
103	1	PIPD_1	PIPD	PIPD_1_Rep3
108	2	PIPD_2	PIPD	PIPD_2_Rep1
77	2	PIPD_2	PIPD	PIPD_2_Rep2
43	2	PIPD_2	PIPD	PIPD_2_Rep3
61	24	PIPD_24	PIPD	PIPD_24_Rep1
95	24	PIPD_24	PIPD	PIPD_24_Rep2
126	24	PIPD_24	PIPD	PIPD_24_Rep3
49	4	PIPD_4	PIPD	PIPD_4_Rep1
114	4	PIPD_4	PIPD	PIPD_4_Rep2
83	4	PIPD_4	PIPD	PIPD_4_Rep3
120	8	PIPD_8	PIPD	PIPD_8_Rep1
89	8	PIPD_8	PIPD	PIPD_8_Rep2
55	8	PIPD_8	PIPD	PIPD_8_Rep3
63	0	untreated_0	untreated	untreated_0_Rep1
66	0	untreated_0	untreated	untreated_0_Rep2
64	0	untreated_0	untreated	untreated_0_Rep3
98	0	untreated_0	untreated	untreated_0_Rep4
65	0	untreated_0	untreated	untreated_0_Rep5
97	0	untreated_0	untreated	untreated_0_Rep6
